,Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url,ar_srt
182,183.0,187.0,188,Video_Finished\188\188_CE.mp4,Video_Finished\188\188_English.srt,Video_Finished\188\188_Chinese.srt,adult,"male, female","Comedy, Humor, Love & Relationships, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835068472834539522,Video_Finished\188\188_Arbic.srt
183,184.0,188.0,189,Video_Finished\189\189_CE.mp4,Video_Finished\189\189_English.srt,Video_Finished\189\189_Chinese.srt,adult,"male, female","Cars & Vehicles, Psychology, Entertainment",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835068822337507329,Video_Finished\189\189_Arbic.srt
184,185.0,189.0,190,Video_Finished\190\190_CE.mp4,Video_Finished\190\190_English.srt,Video_Finished\190\190_Chinese.srt,adult,"male, female",Cars & Vehicles,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835069165066665984,Video_Finished\190\190_Arbic.srt
185,186.0,190.0,191,Video_Finished\191\191_CE.mp4,Video_Finished\191\191_English.srt,Video_Finished\191\191_Chinese.srt,adult,"male, female","Comedy, Humor, Love & Relationships, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835069357052534784,Video_Finished\191\191_Arbic.srt
186,187.0,191.0,192,Video_Finished\192\192_CE.mp4,Video_Finished\192\192_English.srt,Video_Finished\192\192_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835069508106194946,Video_Finished\192\192_Arbic.srt
187,188.0,192.0,193,Video_Finished\193\193_CE.mp4,Video_Finished\193\193_English.srt,Video_Finished\193\193_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835069611709710336,Video_Finished\193\193_Arbic.srt
188,189.0,193.0,194,Video_Finished\194\194_CE.mp4,Video_Finished\194\194_English.srt,Video_Finished\194\194_Chinese.srt,"k12, adult","male, female","Thriller, Entertainment",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835069938454372353,Video_Finished\194\194_Arbic.srt
189,190.0,194.0,195,Video_Finished\195\195_CE.mp4,Video_Finished\195\195_English.srt,Video_Finished\195\195_Chinese.srt,"k12, adult","male, female","DIY & Crafts, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835070169266917376,Video_Finished\195\195_Arbic.srt
190,191.0,195.0,196,Video_Finished\196\196_CE.mp4,Video_Finished\196\196_English.srt,Video_Finished\196\196_Chinese.srt,adult,"male, female","Comedy, Humor, Love & Relationships, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835071870598258688,Video_Finished\196\196_Arbic.srt
191,192.0,196.0,197,Video_Finished\197\197_CE.mp4,Video_Finished\197\197_English.srt,Video_Finished\197\197_Chinese.srt,adult,"male, female","Education, Cars & Vehicles, Technology, Entertainment, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835072260794363905,Video_Finished\197\197_Arbic.srt
192,193.0,197.0,198,Video_Finished\198\198_CE.mp4,Video_Finished\198\198_English.srt,Video_Finished\198\198_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835072668346499073,Video_Finished\198\198_Arbic.srt
193,194.0,198.0,199,Video_Finished\199\199_CE.mp4,Video_Finished\199\199_English.srt,Video_Finished\199\199_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835072956780376064,Video_Finished\199\199_Arbic.srt
194,195.0,199.0,200,Video_Finished\200\200_CE.mp4,Video_Finished\200\200_English.srt,Video_Finished\200\200_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835073057946996739,Video_Finished\200\200_Arbic.srt
195,196.0,200.0,201,Video_Finished\201\201_CE.mp4,Video_Finished\201\201_English.srt,Video_Finished\201\201_Chinese.srt,"k12, adult","male, female","Education, Entertainment, Language",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835073254081036288,Video_Finished\201\201_Arbic.srt
